,R_top,R_bottom,F1_score
0,0.02,0.02,0.8508834434276946
1,0.02,1.0,0.8935202880383862
2,0.02,2.0,0.9007715852381382
3,0.02,3.0,0.892657885527886
4,0.02,4.0,0.8885265350198309
5,0.02,5.0,0.8916262459948517
6,1.0,0.02,0.8446985690051498
7,1.0,1.0,0.8559550453621506
8,1.0,2.0,0.8976186454162981
9,1.0,3.0,0.8937879054384452
10,1.0,4.0,0.8960396419190793
11,1.0,5.0,0.8941700130230362
12,2.0,0.02,0.9136626217476213
13,2.0,1.0,0.854287957625638
14,2.0,2.0,0.9076295911432474
15,2.0,3.0,0.8906513590263446
16,2.0,4.0,0.8983640410912715
17,2.0,5.0,0.8928008391228434
18,3.0,0.02,0.9102581523748193
19,3.0,1.0,0.9144460277051292
20,3.0,2.0,0.9080027430900226
21,3.0,3.0,0.8962252538071315
22,3.0,4.0,0.8765495604812988
23,3.0,5.0,0.8837948829837092
24,4.0,0.02,0.8894466604367756
25,4.0,1.0,0.8940047370129376
26,4.0,2.0,0.8943775995769045
27,4.0,3.0,0.9361790831338773
28,4.0,4.0,0.8701496522182831
29,4.0,5.0,0.9060283537048682
30,5.0,0.02,0.9030851665120311
31,5.0,1.0,0.9006884198101495
32,5.0,2.0,0.8861200699493429
33,5.0,3.0,0.8995695800702818
34,5.0,4.0,0.8858773184467134
35,5.0,5.0,0.9005457011484039
