,R_top,R_bottom,F1_score
0,5.0,5.0,0.9155248138408463
1,5.0,4.0,0.932201981184236
2,5.0,3.0,0.9437887918768083
3,5.0,2.0,0.9484337214367949
4,5.0,1.0,0.9305272095072632
5,5.0,0.02,0.9072741130881493
6,4.0,5.0,0.9240768467081261
7,4.0,4.0,0.9544328637496231
8,4.0,3.0,0.9367094891261258
9,4.0,2.0,0.9427527805339224
10,4.0,1.0,0.9540271006492397
11,4.0,0.02,0.9164623879555217
12,3.0,5.0,0.9561084133433493
13,3.0,4.0,0.9492962485506388
14,3.0,3.0,0.9375534829411029
15,3.0,2.0,0.9533324535345088
16,3.0,1.0,0.9461769688439983
17,3.0,0.02,0.960407005375067
18,2.0,5.0,0.9338294154460215
19,2.0,4.0,0.9560453131488797
20,2.0,3.0,0.9531572975811223
21,2.0,2.0,0.9533710544788478
22,2.0,1.0,0.9265690118901122
23,2.0,0.02,0.9578371708206914
24,1.0,5.0,0.9432865884039154
25,1.0,4.0,0.9484757186911058
26,1.0,3.0,0.9750449303266085
27,1.0,2.0,0.9805209722796441
28,1.0,1.0,0.9297534244865789
29,1.0,0.02,0.9244114634936736
30,0.02,5.0,0.9028219099686569
31,0.02,4.0,0.9065228163970013
32,0.02,3.0,0.95274397124806
33,0.02,2.0,0.9424843093611978
34,0.02,1.0,0.9180384455111383
35,0.02,0.02,0.9358757600182429
