,R_top,R_bottom,F1_score
0,0.02,0.02,0.9378533379509243
1,0.02,1.0,0.9414018005273549
2,0.02,2.0,0.9383712202905266
3,0.02,3.0,0.9324654329816526
4,0.02,4.0,0.923113663005714
5,0.02,5.0,0.9219832061884201
6,1.0,0.02,0.940397333966424
7,1.0,1.0,0.9397058788092967
8,1.0,2.0,0.9329554630908048
9,1.0,3.0,0.931675302249108
10,1.0,4.0,0.9232050880873656
11,1.0,5.0,0.9229763466275547
12,2.0,0.02,0.9377342354361247
13,2.0,1.0,0.9334167302375851
14,2.0,2.0,0.9322063165848865
15,2.0,3.0,0.9295054669636611
16,2.0,4.0,0.9245397037886034
17,2.0,5.0,0.9227508633804424
18,3.0,0.02,0.9267358676768878
19,3.0,1.0,0.9332377767265703
20,3.0,2.0,0.9274589959636323
21,3.0,3.0,0.9250326682527877
22,3.0,4.0,0.9187790433636825
23,3.0,5.0,0.9127122884393973
24,4.0,0.02,0.9186598426699539
25,4.0,1.0,0.9185192144866996
26,4.0,2.0,0.9202381963020162
27,4.0,3.0,0.9205647821663339
28,4.0,4.0,0.9188805368891737
29,4.0,5.0,0.9139974171430248
30,5.0,0.02,0.9088044617490946
31,5.0,1.0,0.9110006992508621
32,5.0,2.0,0.9058493703267173
33,5.0,3.0,0.9128438193600893
34,5.0,4.0,0.9072807024605476
35,5.0,5.0,0.9017138435868383
