,R_top,R_bottom,F1_score
0,0.02,0.02,0.8336933119324078
1,0.02,1.0,0.8392618882460955
2,0.02,2.0,0.8458852578954851
3,0.02,3.0,0.8502250287941768
4,0.02,4.0,0.8530868455919212
5,0.02,5.0,0.8588946016897685
6,1.0,0.02,0.837994402752109
7,1.0,1.0,0.8458938945000951
8,1.0,2.0,0.8507335420670715
9,1.0,3.0,0.8526613924455358
10,1.0,4.0,0.8593775540587291
11,1.0,5.0,0.8647387040267008
12,2.0,0.02,0.8450283223315839
13,2.0,1.0,0.8458764715827091
14,2.0,2.0,0.8521994459705294
15,2.0,3.0,0.8580608458353213
16,2.0,4.0,0.8619885649718874
17,2.0,5.0,0.8696438968540242
18,3.0,0.02,0.8474447949776206
19,3.0,1.0,0.8500579684822283
20,3.0,2.0,0.8562657765027755
21,3.0,3.0,0.8640437624202395
22,3.0,4.0,0.8710393172606699
23,3.0,5.0,0.8751040632234138
24,4.0,0.02,0.8522507652524074
25,4.0,1.0,0.8537573572170175
26,4.0,2.0,0.8617769367827598
27,4.0,3.0,0.8685909780254627
28,4.0,4.0,0.8767327174344709
29,4.0,5.0,0.8833041732015801
30,5.0,0.02,0.8566538784663531
31,5.0,1.0,0.8621664316413352
32,5.0,2.0,0.8667314998219541
33,5.0,3.0,0.8746179778406068
34,5.0,4.0,0.8829425250141846
35,5.0,5.0,0.8893580377219816
